"ASIGNATURA_REFERENCIA","MATRICULA_CURSO_ACADEMICO","GRUPO_ID","INGLES","ASIGNACION_MANUAL","MATRICULA_EXPEDIENTES_NEXP"
"51015","20/21","","","",104100512
"51025","20/21","","","",104100512
"51024","20/21","","","",104100512
"51017","20/21","","","",104100512
"51013","20/21","","","",104100512
"51026","20/21","","","",104100512
"51040","20/21","","","",104100512
"51701","20/21","","","",104300513
"51700","20/21","","","",104300513
"51702","20/21","","","",104300513
"51703","20/21","","","",104300513
"51708","20/21","","","",104300513
"51709","20/21","","","",104300513
"51710","20/21","","","",104300513
"51716","20/21","","","",104300513
"51026","20/21","","","",104300513
"51030","20/21","","","",104300513
"51683","20/21","","","",104300514
"51684","20/21","","","",104300514
"51685","20/21","","","",104300514
"51686","20/21","","","",104300514
"51687","20/21","","","",104300514
"51688","20/21","","","",104300514
"51689","20/21","","","",104300514
"51690","20/21","","","",104300514
"51691","20/21","","","",104300514
"51692","20/21","","","",104300514
"50658","20/21","","","",104100515
"50663","20/21","","","",104100515
"51007","20/21","","","",104100515
"51009","20/21","","","",104100515
"51011","20/21","","","",104100515
"51015","20/21","","","",104100515
"51025","20/21","","","",104100515
"51024","20/21","","","",104100515
"51008","20/21","","","",104100515
"51016","20/21","","","",104100515
"51006","20/21","","","",104100515
"51049","20/21","","","",104100515
"51683","20/21","","","",104300516
"51684","20/21","","","",104300516
"51685","20/21","","","",104300516
"51686","20/21","","","",104300516
"51687","20/21","","","",104300516
"51688","20/21","","","",104300516
"51689","20/21","","","",104300516
"51690","20/21","","","",104300516
"51691","20/21","","","",104300516
"51692","20/21","","","",104300516
"51739","20/21","","","",104300517
"51148","20/21","","","",104200518
"51149","20/21","","","",104200518
"51150","20/21","","","",104200518
"51151","20/21","","","",104200518
"51152","20/21","","","",104200518
"51153","20/21","","","",104200518
"51154","20/21","","","",104200518
"51155","20/21","","","",104200518
"51156","20/21","","","",104200518
"51157","20/21","","","",104200518
"50658","20/21","","","",104100519
"51059","20/21","","","",104100519
"51138","20/21","","","",104200520
"51148","20/21","","","",104200520
"51149","20/21","","","",104200520
"51150","20/21","","","",104200520
"51151","20/21","","","",104200520
"51152","20/21","","","",104200520
"51153","20/21","","","",104200520
"51154","20/21","","","",104200520
"51155","20/21","","","",104200520
"51156","20/21","","","",104200520
"51157","20/21","","","",104200520
"51059","20/21","","","",104100521
"50658","20/21","","","",104100522
"50659","20/21","","","",104100522
"50660","20/21","","","",104100522
"50661","20/21","","","",104100522
"50662","20/21","","","",104100522
"50663","20/21","","","",104100522
"50664","20/21","","","",104100522
"50665","20/21","","","",104100522
"50666","20/21","","","",104100522
"50667","20/21","","","",104100522
"53015","20/21","","","",105600523
"53112","20/21","","","",105600523
"53161","20/21","","","",105600523
"53162","20/21","","","",105600523
"53163","20/21","","","",105600523
"53164","20/21","","","",105600523
"53165","20/21","","","",105600523
"53210","20/21","","","",105600523
"53218","20/21","","","",105600523
"53220","20/21","","","",105600523
"53222","20/21","","","",105600523
"53223","20/21","","","",105600523
"53226","20/21","","","",105600523
"51148","20/21","","","",104200524
"51150","20/21","","","",104200524
"51151","20/21","","","",104200524
"51152","20/21","","","",104200524
"51153","20/21","","","",104200524
"51154","20/21","","","",104200524
"51155","20/21","","","",104200524
"51156","20/21","","","",104200524
"51157","20/21","","","",104200524
"50658","20/21","","","",104100525
"50994","20/21","","","",104100525
"50997","20/21","","","",104100525
"50998","20/21","","","",104100525
"51000","20/21","","","",104100525
"51001","20/21","","","",104100525
"51002","20/21","","","",104100525
"51011","20/21","","","",104100525
"51015","20/21","","","",104100525
"51025","20/21","","","",104100525
"53009","20/21","","","",105600526
"53109","20/21","","","",105600526
"53110","20/21","","","",105600526
"53111","20/21","","","",105600526
"53112","20/21","","","",105600526
"53113","20/21","","","",105600526
"53114","20/21","","","",105600526
"53115","20/21","","","",105600526
"53116","20/21","","","",105600526
"53117","20/21","","","",105600526
"53118","20/21","","","",105600526
"51195","20/21","","","",104200527
"51180","20/21","","","",104200527
"51181","20/21","","","",104200527
"51182","20/21","","","",104200527
"51186","20/21","","","",104200527
"51198","20/21","","","",104200527
"51018","20/21","","","",104200527
"51056","20/21","","","",104200527
"50658","20/21","","","",104100528
"50659","20/21","","","",104100528
"50660","20/21","","","",104100528
"50661","20/21","","","",104100528
"50662","20/21","","","",104100528
"50663","20/21","","","",104100528
"50664","20/21","","","",104100528
"50665","20/21","","","",104100528
"50666","20/21","","","",104100528
"50667","20/21","","","",104100528
"51007","20/21","","","",104100529
"51009","20/21","","","",104100529
"51011","20/21","","","",104100529
"51015","20/21","","","",104100529
"51025","20/21","","","",104100529
"51024","20/21","","","",104100529
"51005","20/21","","","",104100529
"51022","20/21","","","",104100529
"51047","20/21","","","",104100529
"51030","20/21","","","",104100529
"53110","20/21","","","",105600530
"53112","20/21","","","",105600530
"53113","20/21","","","",105600530
"53118","20/21","","","",105600530
"53161","20/21","","","",105600530
"53162","20/21","","","",105600530
"53163","20/21","","","",105600530
"53164","20/21","","","",105600530
"53165","20/21","","","",105600530
"53211","20/21","","","",105600530
"53212","20/21","","","",105600530
"53213","20/21","","","",105600530
"53214","20/21","","","",105600530
"53215","20/21","","","",105600530
"53221","20/21","","","",105600530
"50663","20/21","","","",104100531
"50664","20/21","","","",104100531
"50994","20/21","","","",104100531
"50997","20/21","","","",104100531
"51024","20/21","","","",104100340
"51005","20/21","","","",104100340
"51022","20/21","","","",104100340
"51057","20/21","","","",104100340
"51030","20/21","","","",104100340
"51150","20/21","","","",104200341
"51161","20/21","","","",104200341
"51162","20/21","","","",104200341
"51166","20/21","","","",104200341
"51169","20/21","","","",104200341
"51175","20/21","","","",104200341
"51031","20/21","","","",104200341
"51190","20/21","","","",104200341
"51191","20/21","","","",104200341
"51138","20/21","","","",104200342
"51139","20/21","","","",104200342
"51140","20/21","","","",104200342
"51141","20/21","","","",104200342
"51142","20/21","","","",104200342
"51143","20/21","","","",104200342
"51144","20/21","","","",104200342
"51145","20/21","","","",104200342
"51146","20/21","","","",104200342
"51147","20/21","","","",104200342
"51059","20/21","","","",104100343
"50660","20/21","","","",104100344
"50662","20/21","","","",104100344
"50663","20/21","","","",104100344
"50664","20/21","","","",104100344
"50994","20/21","","","",104100344
"50995","20/21","","","",104100344
"50996","20/21","","","",104100344
"50997","20/21","","","",104100344
"50998","20/21","","","",104100344
"50999","20/21","","","",104100344
"51000","20/21","","","",104100344
"51001","20/21","","","",104100344
"51002","20/21","","","",104100344
"51003","20/21","","","",104100344
"50658","20/21","","","",104100345
"50994","20/21","","","",104100345
"50997","20/21","","","",104100345
"51000","20/21","","","",104100345
"51001","20/21","","","",104100345
"51002","20/21","","","",104100345
"51009","20/21","","","",104100345
"51011","20/21","","","",104100345
"51015","20/21","","","",104100345
"51025","20/21","","","",104100345
"51138","20/21","","","",104200346
"51139","20/21","","","",104200346
"51144","20/21","","","",104200346
"51148","20/21","","","",104200346
"51162","20/21","","","",104200346
"51181","20/21","","","",104200346
"51182","20/21","","","",104200346
"51198","20/21","","","",104200346
"50994","20/21","","","",104100347
"50995","20/21","","","",104100347
"50996","20/21","","","",104100347
"50997","20/21","","","",104100347
"50998","20/21","","","",104100347
"50999","20/21","","","",104100347
"51000","20/21","","","",104100347
"51001","20/21","","","",104100347
"51002","20/21","","","",104100347
"51003","20/21","","","",104100347
"50658","20/21","","","",104100348
"51059","20/21","","","",104100348
"53212","20/21","","","",105600135
"53213","20/21","","","",105600135
"53214","20/21","","","",105600135
"53221","20/21","","","",105600135
"53296","20/21","","","",105600135
"53283","20/21","","","",105600135
"53286","20/21","","","",105600135
"53304","20/21","","","",105600135
"53418","20/21","","","",105600135
"53419","20/21","","","",105600135
"53422","20/21","","","",105600135
"53424","20/21","","","",105600135
"53425","20/21","","","",105600135
"53423","20/21","","","",105600135
"53426","20/21","","","",105600135
"51739","20/21","","","",104300136
"51148","20/21","","","",104200137
"51149","20/21","","","",104200137
"51150","20/21","","","",104200137
"51151","20/21","","","",104200137
"51152","20/21","","","",104200137
"51153","20/21","","","",104200137
"51154","20/21","","","",104200137
"51155","20/21","","","",104200137
"51156","20/21","","","",104200137
"51157","20/21","","","",104200137
"51162","20/21","","","",104200138
"51195","20/21","","","",104200138
"51180","20/21","","","",104200138
"51181","20/21","","","",104200138
"51182","20/21","","","",104200138
"51186","20/21","","","",104200138
"51198","20/21","","","",104200138
"51191","20/21","","","",104200138
"51056","20/21","","","",104200138
"51138","20/21","","","",104200139
"51139","20/21","","","",104200139
"51140","20/21","","","",104200139
"51141","20/21","","","",104200139
"51142","20/21","","","",104200139
"51143","20/21","","","",104200139
"51144","20/21","","","",104200139
"51145","20/21","","","",104200139
"51146","20/21","","","",104200139
"51147","20/21","","","",104200139
"51138","20/21","","","",104200140
"51139","20/21","","","",104200140
"51140","20/21","","","",104200140
"51141","20/21","","","",104200140
"51142","20/21","","","",104200140
"51143","20/21","","","",104200140
"51144","20/21","","","",104200140
"51145","20/21","","","",104200140
"51146","20/21","","","",104200140
"51147","20/21","","","",104200140
"53008","20/21","","","",105600141
"53009","20/21","","","",105600141
"53010","20/21","","","",105600141
"53011","20/21","","","",105600141
"53012","20/21","","","",105600141
"53013","20/21","","","",105600141
"53014","20/21","","","",105600141
"53015","20/21","","","",105600141
"53016","20/21","","","",105600141
"53017","20/21","","","",105600141
"50658","20/21","","","",104100142
"50659","20/21","","","",104100142
"50660","20/21","","","",104100142
"50661","20/21","","","",104100142
"50662","20/21","","","",104100142
"50663","20/21","","","",104100142
"50664","20/21","","","",104100142
"50665","20/21","","","",104100142
"50666","20/21","","","",104100142
"50667","20/21","","","",104100142
"53008","20/21","","","",105600143
"53009","20/21","","","",105600143
"53010","20/21","","","",105600143
"53011","20/21","","","",105600143
"53012","20/21","","","",105600143
"53013","20/21","","","",105600143
"53014","20/21","","","",105600143
"53015","20/21","","","",105600143
"53016","20/21","","","",105600143
"53017","20/21","","","",105600143
"50663","20/21","","","",104100144
"50994","20/21","","","",104100144
"50995","20/21","","","",104100144
"50996","20/21","","","",104100144
"50997","20/21","","","",104100144
"50998","20/21","","","",104100144
"50999","20/21","","","",104100144
"51000","20/21","","","",104100144
"51001","20/21","","","",104100144
"51002","20/21","","","",104100144
"51003","20/21","","","",104100144
"53161","20/21","","","",105600145
"53162","20/21","","","",105600145
"53163","20/21","","","",105600145
"53164","20/21","","","",105600145
"53165","20/21","","","",105600145
"53211","20/21","","","",105600145
"53212","20/21","","","",105600145
"53213","20/21","","","",105600145
"53214","20/21","","","",105600145
"53215","20/21","","","",105600145
"53221","20/21","","","",105600145
"50658","20/21","","","",104100146
"50660","20/21","","","",104100146
"50994","20/21","","","",104100146
"50996","20/21","","","",104100146
"50998","20/21","","","",104100146
"51000","20/21","","","",104100146
"51015","20/21","","","",104100146
"51025","20/21","","","",104100146
"51024","20/21","","","",104100146
"51013","20/21","","","",104100146
"50658","20/21","","","",104100147
"50659","20/21","","","",104100147
"50660","20/21","","","",104100147
"50661","20/21","","","",104100147
"50662","20/21","","","",104100147
"50663","20/21","","","",104100147
"50664","20/21","","","",104100147
"50665","20/21","","","",104100147
"50666","20/21","","","",104100147
"50667","20/21","","","",104100147
"53011","20/21","","","",105600148
"53015","20/21","","","",105600148
"53111","20/21","","","",105600148
"53161","20/21","","","",105600148
"53163","20/21","","","",105600148
"53165","20/21","","","",105600148
"53211","20/21","","","",105600148
"53214","20/21","","","",105600148
"53221","20/21","","","",105600148
"53296","20/21","","","",105600148
"53283","20/21","","","",105600148
"53417","20/21","","","",105600148
"53422","20/21","","","",105600148
"53425","20/21","","","",105600148
"53112","20/21","","","",105600149
"53113","20/21","","","",105600149
"53212","20/21","","","",105600149
"53213","20/21","","","",105600149
"53214","20/21","","","",105600149
"53296","20/21","","","",105600149
"53304","20/21","","","",105600149
"53418","20/21","","","",105600149
"53419","20/21","","","",105600149
"53111","20/21","","","",105600150
"53113","20/21","","","",105600150
"53116","20/21","","","",105600150
"53118","20/21","","","",105600150
"53213","20/21","","","",105600150
"53296","20/21","","","",105600150
"53304","20/21","","","",105600150
"53422","20/21","","","",105600150
"53426","20/21","","","",105600150
"50658","20/21","","","",104100151
"50659","20/21","","","",104100151
"50660","20/21","","","",104100151
"50661","20/21","","","",104100151
"50662","20/21","","","",104100151
"50663","20/21","","","",104100151
"50664","20/21","","","",104100151
"50665","20/21","","","",104100151
"50666","20/21","","","",104100151
"50667","20/21","","","",104100151
"51160","20/21","","","",104200152
"51161","20/21","","","",104200152
"51162","20/21","","","",104200152
"51166","20/21","","","",104200152
"51169","20/21","","","",104200152
"51171","20/21","","","",104200152
"51174","20/21","","","",104200152
"51175","20/21","","","",104200152
"51031","20/21","","","",104200152
"51191","20/21","","","",104200152
"50658","20/21","","","",104100153
"50659","20/21","","","",104100153
"50660","20/21","","","",104100153
"50661","20/21","","","",104100153
"50662","20/21","","","",104100153
"50663","20/21","","","",104100153
"50664","20/21","","","",104100153
"50665","20/21","","","",104100153
"50666","20/21","","","",104100153
"50667","20/21","","","",104100153
"53011","20/21","","","",105600154
"53113","20/21","","","",105600154
"53304","20/21","","","",105600154
"50658","20/21","","","",104100155
"50663","20/21","","","",104100155
"50994","20/21","","","",104100155
"51001","20/21","","","",104100155
"51003","20/21","","","",104100155
"51009","20/21","","","",104100155
"51055","20/21","","","",104100155
"51019","20/21","","","",104100155
"51057","20/21","","","",104100155
"51190","20/21","","","",104100155
"51674","20/21","","","",104300156
"51675","20/21","","","",104300156
"51684","20/21","","","",104300156
"51685","20/21","","","",104300156
"51689","20/21","","","",104300156
"51690","20/21","","","",104300156
"51691","20/21","","","",104300156
"51692","20/21","","","",104300156
"51148","20/21","","","",104200157
"51149","20/21","","","",104200157
"51150","20/21","","","",104200157
"51151","20/21","","","",104200157
"51152","20/21","","","",104200157
"51153","20/21","","","",104200157
"51154","20/21","","","",104200157
"51155","20/21","","","",104200157
"51156","20/21","","","",104200157
"51157","20/21","","","",104200157
"51160","20/21","","","",104200158
"51161","20/21","","","",104200158
"51162","20/21","","","",104200158
"51166","20/21","","","",104200158
"51169","20/21","","","",104200158
"51171","20/21","","","",104200158
"51174","20/21","","","",104200158
"51175","20/21","","","",104200158
"51006","20/21","","","",104200158
"51058","20/21","","","",104200158
"51673","20/21","","","",104300159
"51674","20/21","","","",104300159
"51675","20/21","","","",104300159
"51677","20/21","","","",104300159
"51678","20/21","","","",104300159
"51679","20/21","","","",104300159
"51682","20/21","","","",104300159
"51684","20/21","","","",104300159
"51688","20/21","","","",104300159
"51689","20/21","","","",104300159
"50994","20/21","","","",104100160
"50995","20/21","","","",104100160
"50996","20/21","","","",104100160
"50997","20/21","","","",104100160
"50998","20/21","","","",104100160
"50999","20/21","","","",104100160
"51000","20/21","","","",104100160
"51001","20/21","","","",104100160
"51002","20/21","","","",104100160
"51003","20/21","","","",104100160
"51673","20/21","","","",104300161
"51681","20/21","","","",104300161
"51682","20/21","","","",104300161
"51686","20/21","","","",104300161
"51690","20/21","","","",104300161
"51700","20/21","","","",104300161
"51709","20/21","","","",104300161
"51710","20/21","","","",104300161
"51716","20/21","","","",104300161
"51720","20/21","","","",104300161
"50658","20/21","","","",104100162
"50662","20/21","","","",104100162
"50663","20/21","","","",104100162
"50664","20/21","","","",104100162
"50995","20/21","","","",104100162
"50996","20/21","","","",104100162
"50997","20/21","","","",104100162
"51000","20/21","","","",104100162
"51002","20/21","","","",104100162
"51003","20/21","","","",104100162
"50659","20/21","","","",104100163
"50662","20/21","","","",104100163
"50663","20/21","","","",104100163
"50664","20/21","","","",104100163
"50667","20/21","","","",104100163
"50995","20/21","","","",104100163
"50996","20/21","","","",104100163
"50998","20/21","","","",104100163
"50999","20/21","","","",104100163
"51002","20/21","","","",104100163
"50664","20/21","","","",104100164
"50994","20/21","","","",104100164
"50997","20/21","","","",104100164
"51000","20/21","","","",104100164
"51009","20/21","","","",104100164
"51017","20/21","","","",104100164
"51055","20/21","","","",104100164
"51027","20/21","","","",104100164
"51032","20/21","","","",104100164
"51034","20/21","","","",104100164
"51037","20/21","","","",104100164
"51190","20/21","","","",104100164
"51162","20/21","","","",104200165
"51169","20/21","","","",104200165
"51171","20/21","","","",104200165
"51195","20/21","","","",104200165
"51180","20/21","","","",104200165
"51181","20/21","","","",104200165
"51182","20/21","","","",104200165
"51186","20/21","","","",104200165
"51044","20/21","","","",104200165
"51730","20/21","","","",104200165
"51056","20/21","","","",104200165
"51058","20/21","","","",104200165
"51138","20/21","","","",104200166
"51151","20/21","","","",104200166
"51171","20/21","","","",104200166
"51175","20/21","","","",104200166
"51181","20/21","","","",104200166
"51182","20/21","","","",104200166
"51056","20/21","","","",104200166
"50658","20/21","","","",104100167
"50659","20/21","","","",104100167
"50660","20/21","","","",104100167
"50661","20/21","","","",104100167
"50662","20/21","","","",104100167
"50663","20/21","","","",104100167
"50664","20/21","","","",104100167
"50665","20/21","","","",104100167
"50666","20/21","","","",104100167
"50667","20/21","","","",104100167
"53161","20/21","","","",105600168
"53162","20/21","","","",105600168
"53163","20/21","","","",105600168
"53164","20/21","","","",105600168
"53165","20/21","","","",105600168
"53210","20/21","","","",105600168
"53218","20/21","","","",105600168
"53220","20/21","","","",105600168
"53222","20/21","","","",105600168
"53223","20/21","","","",105600168
"53226","20/21","","","",105600168
"53296","20/21","","","",105600169
"53283","20/21","","","",105600169
"53286","20/21","","","",105600169
"53304","20/21","","","",105600169
"53417","20/21","","","",105600169
"53418","20/21","","","",105600169
"53419","20/21","","","",105600169
"53422","20/21","","","",105600169
"53424","20/21","","","",105600169
"53425","20/21","","","",105600169
"53423","20/21","","","",105600169
"53426","20/21","","","",105600169
"50658","20/21","","","",104100170
"50660","20/21","","","",104100170
"50661","20/21","","","",104100170
"50663","20/21","","","",104100170
"50664","20/21","","","",104100170
"50666","20/21","","","",104100170
"50667","20/21","","","",104100170
"50995","20/21","","","",104100170
"50999","20/21","","","",104100170
"51138","20/21","","","",104200171
"51148","20/21","","","",104200171
"51149","20/21","","","",104200171
"51150","20/21","","","",104200171
"51151","20/21","","","",104200171
"51152","20/21","","","",104200171
"51153","20/21","","","",104200171
"51154","20/21","","","",104200171
"51155","20/21","","","",104200171
"51156","20/21","","","",104200171
"51157","20/21","","","",104200171
"51148","20/21","","","",104200172
"51149","20/21","","","",104200172
"51150","20/21","","","",104200172
"51151","20/21","","","",104200172
"51152","20/21","","","",104200172
"51153","20/21","","","",104200172
"51154","20/21","","","",104200172
"51155","20/21","","","",104200172
"51156","20/21","","","",104200172
"51157","20/21","","","",104200172
"51007","20/21","","","",104100173
"51009","20/21","","","",104100173
"51011","20/21","","","",104100173
"51015","20/21","","","",104100173
"51025","20/21","","","",104100173
"51024","20/21","","","",104100173
"51017","20/21","","","",104100173
"51013","20/21","","","",104100173
"51019","20/21","","","",104100173
"51040","20/21","","","",104100173
"50663","20/21","","","",104100174
"50664","20/21","","","",104100174
"50997","20/21","","","",104100174
"51001","20/21","","","",104100174
"51009","20/21","","","",104100174
"51029","20/21","","","",104100174
"51036","20/21","","","",104100174
"51041","20/21","","","",104100174
"50658","20/21","","","",104100175
"50660","20/21","","","",104100175
"50666","20/21","","","",104100175
"50994","20/21","","","",104100175
"51000","20/21","","","",104100175
"51007","20/21","","","",104100175
"51011","20/21","","","",104100175
"51015","20/21","","","",104100175
"51025","20/21","","","",104100175
"51024","20/21","","","",104100175
"51017","20/21","","","",104100175
"51013","20/21","","","",104100175
"51160","20/21","","","",104200176
"51161","20/21","","","",104200176
"51162","20/21","","","",104200176
"51166","20/21","","","",104200176
"51169","20/21","","","",104200176
"51171","20/21","","","",104200176
"51174","20/21","","","",104200176
"51175","20/21","","","",104200176
"51006","20/21","","","",104200176
"51058","20/21","","","",104200176
"50994","20/21","","","",104100177
"51009","20/21","","","",104100177
"51011","20/21","","","",104100177
"51017","20/21","","","",104100177
"51055","20/21","","","",104100177
"51037","20/21","","","",104100177
"51049","20/21","","","",104100177
"51056","20/21","","","",104100177
"51058","20/21","","","",104100177
"51138","20/21","","","",104200178
"51154","20/21","","","",104200178
"51195","20/21","","","",104200178
"51180","20/21","","","",104200178
"51181","20/21","","","",104200178
"51182","20/21","","","",104200178
"51186","20/21","","","",104200178
"51190","20/21","","","",104200178
"53009","20/21","","","",105600179
"53010","20/21","","","",105600179
"53011","20/21","","","",105600179
"53012","20/21","","","",105600179
"53017","20/21","","","",105600179
"53114","20/21","","","",105600179
"53115","20/21","","","",105600179
"53116","20/21","","","",105600179
"53117","20/21","","","",105600179
"53009","20/21","","","",105600180
"53013","20/21","","","",105600180
"53017","20/21","","","",105600180
"53110","20/21","","","",105600180
"53111","20/21","","","",105600180
"53112","20/21","","","",105600180
"53114","20/21","","","",105600180
"53116","20/21","","","",105600180
"53117","20/21","","","",105600180
"50658","20/21","","","",104100181
"50660","20/21","","","",104100181
"50663","20/21","","","",104100181
"50664","20/21","","","",104100181
"50667","20/21","","","",104100181
"50996","20/21","","","",104100181
"50999","20/21","","","",104100181
"51000","20/21","","","",104100181
"50658","20/21","","","",104100182
"50659","20/21","","","",104100182
"50660","20/21","","","",104100182
"50661","20/21","","","",104100182
"50662","20/21","","","",104100182
"50663","20/21","","","",104100182
"50664","20/21","","","",104100182
"50665","20/21","","","",104100182
"50666","20/21","","","",104100182
"50667","20/21","","","",104100182
"51195","20/21","","","",104200183
"51180","20/21","","","",104200183
"51181","20/21","","","",104200183
"51182","20/21","","","",104200183
"51186","20/21","","","",104200183
"51198","20/21","","","",104200183
"51026","20/21","","","",104200183
"51056","20/21","","","",104200183
"51055","20/21","","","",104100184
"51029","20/21","","","",104100184
"51036","20/21","","","",104100184
"51041","20/21","","","",104100184
"51046","20/21","","","",104100184
"51059","20/21","","","",104100184
"51014","20/21","","","",104100184
"51056","20/21","","","",104100184
"50660","20/21","","","",104100185
"50994","20/21","","","",104100185
"50995","20/21","","","",104100185
"50996","20/21","","","",104100185
"50997","20/21","","","",104100185
"50999","20/21","","","",104100185
"51000","20/21","","","",104100185
"51002","20/21","","","",104100185
"51003","20/21","","","",104100185
"51151","20/21","","","",104200186
"51198","20/21","","","",104200186
"51018","20/21","","","",104200186
"51023","20/21","","","",104200186
"51058","20/21","","","",104200186
"50658","20/21","","","",104100187
"50659","20/21","","","",104100187
"50660","20/21","","","",104100187
"50661","20/21","","","",104100187
"50662","20/21","","","",104100187
"50663","20/21","","","",104100187
"50664","20/21","","","",104100187
"50665","20/21","","","",104100187
"50666","20/21","","","",104100187
"50667","20/21","","","",104100187
"51138","20/21","","","",104200188
"51139","20/21","","","",104200188
"51140","20/21","","","",104200188
"51141","20/21","","","",104200188
"51142","20/21","","","",104200188
"51143","20/21","","","",104200188
"51144","20/21","","","",104200188
"51145","20/21","","","",104200188
"51146","20/21","","","",104200188
"51147","20/21","","","",104200188
"51138","20/21","","","",104200189
"51139","20/21","","","",104200189
"51140","20/21","","","",104200189
"51141","20/21","","","",104200189
"51142","20/21","","","",104200189
"51143","20/21","","","",104200189
"51144","20/21","","","",104200189
"51145","20/21","","","",104200189
"51146","20/21","","","",104200189
"51147","20/21","","","",104200189
"51673","20/21","","","",104300190
"51678","20/21","","","",104300190
"51681","20/21","","","",104300190
"51683","20/21","","","",104300190
"51688","20/21","","","",104300190
"51690","20/21","","","",104300190
"51691","20/21","","","",104300190
"51692","20/21","","","",104300190
"51198","20/21","","","",104200191
"50664","20/21","","","",104100192
"51009","20/21","","","",104100192
"51025","20/21","","","",104100192
"51055","20/21","","","",104100192
"51027","20/21","","","",104100192
"51034","20/21","","","",104100192
"51037","20/21","","","",104100192
"51019","20/21","","","",104100192
"51050","20/21","","","",104100192
"51039","20/21","","","",104100192
"53009","20/21","","","",105600193
"53011","20/21","","","",105600193
"53012","20/21","","","",105600193
"53017","20/21","","","",105600193
"53111","20/21","","","",105600193
"53112","20/21","","","",105600193
"53114","20/21","","","",105600193
"53115","20/21","","","",105600193
"53116","20/21","","","",105600193
"53117","20/21","","","",105600193
"50658","20/21","","","",104100194
"50659","20/21","","","",104100194
"50660","20/21","","","",104100194
"50661","20/21","","","",104100194
"50662","20/21","","","",104100194
"50663","20/21","","","",104100194
"50664","20/21","","","",104100194
"50665","20/21","","","",104100194
"50666","20/21","","","",104100194
"50667","20/21","","","",104100194
"50658","20/21","","","",104100195
"50659","20/21","","","",104100195
"50660","20/21","","","",104100195
"50661","20/21","","","",104100195
"50662","20/21","","","",104100195
"50663","20/21","","","",104100195
"50664","20/21","","","",104100195
"50665","20/21","","","",104100195
"50666","20/21","","","",104100195
"50667","20/21","","","",104100195
"53008","20/21","","","",105600196
"53009","20/21","","","",105600196
"53010","20/21","","","",105600196
"53011","20/21","","","",105600196
"53012","20/21","","","",105600196
"53013","20/21","","","",105600196
"53014","20/21","","","",105600196
"53015","20/21","","","",105600196
"53016","20/21","","","",105600196
"53017","20/21","","","",105600196
"50665","20/21","","","",104100197
"50666","20/21","","","",104100197
"50994","20/21","","","",104100197
"50995","20/21","","","",104100197
"50996","20/21","","","",104100197
"50997","20/21","","","",104100197
"50998","20/21","","","",104100197
"51015","20/21","","","",104100197
"51025","20/21","","","",104100197
"51013","20/21","","","",104100197
"51138","20/21","","","",104200198
"51139","20/21","","","",104200198
"51140","20/21","","","",104200198
"51141","20/21","","","",104200198
"51142","20/21","","","",104200198
"51143","20/21","","","",104200198
"51144","20/21","","","",104200198
"51145","20/21","","","",104200198
"51146","20/21","","","",104200198
"51147","20/21","","","",104200198
"50658","20/21","","","",104100199
"50659","20/21","","","",104100199
"50660","20/21","","","",104100199
"50661","20/21","","","",104100199
"50662","20/21","","","",104100199
"50663","20/21","","","",104100199
"50664","20/21","","","",104100199
"50665","20/21","","","",104100199
"50666","20/21","","","",104100199
"50667","20/21","","","",104100199
"50997","20/21","","","",104100200
"51007","20/21","","","",104100200
"51009","20/21","","","",104100200
"51011","20/21","","","",104100200
"51015","20/21","","","",104100200
"51025","20/21","","","",104100200
"51024","20/21","","","",104100200
"51005","20/21","","","",104100200
"51022","20/21","","","",104100200
"51040","20/21","","","",104100200
"51160","20/21","","","",104200201
"51161","20/21","","","",104200201
"51162","20/21","","","",104200201
"51166","20/21","","","",104200201
"51169","20/21","","","",104200201
"51171","20/21","","","",104200201
"51174","20/21","","","",104200201
"51175","20/21","","","",104200201
"51044","20/21","","","",104200201
"51021","20/21","","","",104200201
"50994","20/21","","","",104100202
"50995","20/21","","","",104100202
"50996","20/21","","","",104100202
"50997","20/21","","","",104100202
"50998","20/21","","","",104100202
"50999","20/21","","","",104100202
"51000","20/21","","","",104100202
"51001","20/21","","","",104100202
"51002","20/21","","","",104100202
"51003","20/21","","","",104100202
"53008","20/21","","","",105600203
"53009","20/21","","","",105600203
"53010","20/21","","","",105600203
"53011","20/21","","","",105600203
"53012","20/21","","","",105600203
"53013","20/21","","","",105600203
"53014","20/21","","","",105600203
"53015","20/21","","","",105600203
"53016","20/21","","","",105600203
"53017","20/21","","","",105600203
"53009","20/21","","","",105600204
"53011","20/21","","","",105600204
"53109","20/21","","","",105600204
"53111","20/21","","","",105600204
"53118","20/21","","","",105600204
"53309","20/21","","","",105600204
"53308","20/21","","","",105600204
"51673","20/21","","","",104300205
"51674","20/21","","","",104300205
"51675","20/21","","","",104300205
"51676","20/21","","","",104300205
"51677","20/21","","","",104300205
"51678","20/21","","","",104300205
"51679","20/21","","","",104300205
"51680","20/21","","","",104300205
"51681","20/21","","","",104300205
"51682","20/21","","","",104300205
"50658","20/21","","","",104100206
"50659","20/21","","","",104100206
"50660","20/21","","","",104100206
"50661","20/21","","","",104100206
"50662","20/21","","","",104100206
"50663","20/21","","","",104100206
"50664","20/21","","","",104100206
"50665","20/21","","","",104100206
"50666","20/21","","","",104100206
"50667","20/21","","","",104100206
"50658","20/21","","","",104100207
